ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0000897069-22-000555	021-204641               	30-SEP-2022		X0708	D/A	LIVE		
0001949191-22-000002	021-460465               	30-SEP-2022		X0708	D	LIVE		
0001948998-22-000002	021-460464               	30-SEP-2022		X0708	D	LIVE		
0000897069-22-000554	021-113003               	30-SEP-2022		X0708	D/A	LIVE		
0001948612-22-000001	021-460463               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005746	021-415258               	30-SEP-2022		X0708	D/A	LIVE		
0001493152-22-027307	021-376703               	30-SEP-2022		X0708	D/A	LIVE		
0001949037-22-000002	021-460462               	30-SEP-2022		X0708	D	LIVE		
0001948952-22-000001	021-460461               	30-SEP-2022		X0708	D	LIVE		
0001931058-22-000001	021-460460               	30-SEP-2022		X0708	D	LIVE		
0000945621-22-000331	021-322902               	30-SEP-2022		X0708	D/A	LIVE		
0001104659-22-104671	021-431401               	30-SEP-2022		X0708	D/A	LIVE		
0001949182-22-000002	021-460459               	30-SEP-2022		X0708	D	LIVE		
0001946549-22-000002	021-460458               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005744	021-415256               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000005	021-415225               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000004	021-415226               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000003	021-415227               	30-SEP-2022		X0708	D/A	LIVE		
0001949065-22-000002	021-460457               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005742	021-415250               	30-SEP-2022		X0708	D/A	LIVE		
0001896403-22-000001	021-426224               	30-SEP-2022		X0708	D/A	LIVE		
0001949139-22-000001	021-460456               	30-SEP-2022		X0708	D	LIVE		
0001942032-22-000001	021-460455               	30-SEP-2022		X0708	D	LIVE		
0001944073-22-000001	021-460454               	30-SEP-2022		X0708	D	LIVE		
0001946549-22-000001	021-460453               	30-SEP-2022		X0708	D	LIVE		
0001948983-22-000002	021-460452               	30-SEP-2022		X0708	D	LIVE		
0001636220-22-000001	021-460451               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005740	021-415252               	30-SEP-2022		X0708	D/A	LIVE		
0001755755-22-000005	021-411267               	30-SEP-2022		X0708	D/A	LIVE		
0001878726-22-000004	021-421503               	30-SEP-2022		X0708	D/A	LIVE		
0001755755-22-000004	021-411265               	30-SEP-2022		X0708	D/A	LIVE		
0001946315-22-000003	021-460450               	30-SEP-2022		X0708	D	LIVE		
0001932107-22-000001	021-460449               	30-SEP-2022		X0708	D	LIVE		
0001755755-22-000003	021-325760               	30-SEP-2022		X0708	D/A	LIVE		
0001946407-22-000001	021-460448               	30-SEP-2022		X0708	D	LIVE		
0001755755-22-000002	021-411256               	30-SEP-2022	6798	X0708	D/A	LIVE		
0001755755-22-000001	021-411251               	30-SEP-2022	6798	X0708	D/A	LIVE		
0001635434-22-000003	021-460447               	30-SEP-2022		X0708	D	LIVE		
0001948988-22-000002	021-460446               	30-SEP-2022		X0708	D	LIVE		
0001013594-22-000619	021-460445               	30-SEP-2022		X0708	D	LIVE		
0001905940-22-000002	021-460444               	30-SEP-2022		X0708	D	LIVE		
0001949197-22-000001	021-460443               	30-SEP-2022		X0708	D	LIVE		
0001885305-22-000001	021-415220               	30-SEP-2022		X0708	D/A	LIVE		
0001635420-22-000003	021-460442               	30-SEP-2022		X0708	D	LIVE		
0001898603-22-000002	021-428900               	30-SEP-2022		X0708	D/A	LIVE		
0001885306-22-000001	021-415224               	30-SEP-2022		X0708	D/A	LIVE		
0001946886-22-000001	021-460441               	30-SEP-2022		X0708	D	LIVE		
0001949188-22-000002	021-460440               	30-SEP-2022		X0708	D	LIVE		
0001750227-22-000001	021-319261               	30-SEP-2022		X0708	D/A	LIVE		
0001898609-22-000002	021-428907               	30-SEP-2022		X0708	D/A	LIVE		
0001941234-22-000001	021-460439               	30-SEP-2022		X0708	D	LIVE		
0001627589-22-000001	021-229881               	30-SEP-2022		X0708	D/A	LIVE		
0001907654-22-000002	021-431694               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005738	021-460438               	30-SEP-2022		X0708	D	LIVE		
0001919411-22-000001	021-438749               	30-SEP-2022		X0708	D/A	LIVE		
0001919595-22-000001	021-460437               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005736	021-460436               	30-SEP-2022		X0708	D	LIVE		
0000902664-22-004405	021-116389               	30-SEP-2022		X0708	D/A	LIVE		
0001949185-22-000002	021-460435               	30-SEP-2022		X0708	D	LIVE		
0000902664-22-004404	021-116367               	30-SEP-2022		X0708	D/A	LIVE		
0001945652-22-000001	021-460434               	30-SEP-2022		X0708	D	LIVE		
0001873206-22-000002	021-460433               	30-SEP-2022		X0708	D	LIVE		
0001949186-22-000002	021-460432               	30-SEP-2022		X0708	D	LIVE		
0001947556-22-000001	021-460431               	30-SEP-2022		X0708	D	LIVE		
0001948970-22-000001	021-460430               	30-SEP-2022		X0708	D	LIVE		
0000945621-22-000330	021-137409               	30-SEP-2022		X0708	D/A	LIVE		
0001943616-22-000001	021-460429               	30-SEP-2022		X0708	D	LIVE		
0000945621-22-000329	021-137398               	30-SEP-2022		X0708	D/A	LIVE		
0001948465-22-000001	021-460428               	30-SEP-2022		X0708	D	LIVE		
0001785056-22-000002	021-460427               	30-SEP-2022		X0708	D	LIVE		
0001567619-22-017981	021-427146               	30-SEP-2022		X0708	D/A	LIVE		
0001785056-22-000001	021-423954               	30-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017979	021-427145               	30-SEP-2022		X0708	D/A	LIVE		
0001758651-22-000001	021-325879               	30-SEP-2022		X0708	D/A	LIVE		
0001925363-22-000001	021-460073               	30-SEP-2022		X0708	D/A	LIVE		
0001131255-22-000001	021-320249               	30-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017977	021-427143               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000002	021-460426               	30-SEP-2022		X0708	D	LIVE		
0001947290-22-000001	021-460425               	30-SEP-2022		X0708	D	LIVE		
0001949045-22-000001	021-460424               	30-SEP-2022		X0708	D	LIVE		
0001921728-22-000002	021-460423               	30-SEP-2022		X0708	D	LIVE		
0001813406-22-000012	021-460422               	30-SEP-2022		X0708	D	LIVE		
0001567619-22-017975	021-460421               	30-SEP-2022	3677	X0708	D	LIVE		
0001778548-22-000001	021-340914               	30-SEP-2022		X0708	D/A	LIVE		
0001948189-22-000001	021-460420               	30-SEP-2022		X0708	D	LIVE		
0001944339-22-000002	021-460419               	30-SEP-2022		X0708	D	LIVE		
0001948938-22-000001	021-460418               	30-SEP-2022		X0708	D	LIVE		
0001666726-22-000001	021-257414               	30-SEP-2022		X0708	D/A	LIVE		
0001948997-22-000002	021-460417               	30-SEP-2022		X0708	D	LIVE		
0001827097-22-000003	021-350401               	30-SEP-2022		X0708	D/A	LIVE		
0001827097-22-000002	021-377820               	30-SEP-2022		X0708	D/A	LIVE		
0001827097-22-000001	021-377823               	30-SEP-2022		X0708	D/A	LIVE		
0001860227-22-000001	021-398310               	30-SEP-2022		X0708	D/A	LIVE		
0001945026-22-000004	021-460416               	30-SEP-2022		X0708	D	LIVE		
0001944462-22-000001	021-460415               	30-SEP-2022		X0708	D	LIVE		
0001949066-22-000001	021-460414               	30-SEP-2022		X0708	D	LIVE		
0001525853-22-000001	021-164271               	30-SEP-2022		X0708	D/A	LIVE		
0001362118-22-000067	021-422464               	30-SEP-2022		X0708	D/A	LIVE		
0001362118-22-000066	021-422470               	30-SEP-2022		X0708	D/A	LIVE		
0001946782-22-000001	021-460413               	30-SEP-2022		X0708	D	LIVE		
0001873986-22-000001	021-223268               	30-SEP-2022		X0708	D/A	LIVE		
0000947871-22-001035	021-297836               	30-SEP-2022		X0708	D/A	LIVE		
0001948976-22-000001	021-460412               	30-SEP-2022		X0708	D	LIVE		
0001892013-22-000001	021-460411               	30-SEP-2022		X0708	D	LIVE		
0001789564-22-000002	021-342026               	30-SEP-2022		X0708	D/A	LIVE		
0001774406-22-000003	021-459391               	30-SEP-2022		X0708	D/A	LIVE		
0001949126-22-000001	021-460410               	30-SEP-2022		X0708	D	LIVE		
0001567619-22-017973	021-455098               	30-SEP-2022		X0708	D/A	LIVE		
0001591412-22-000002	021-460409               	30-SEP-2022		X0708	D	LIVE		
0001949120-22-000001	021-460408               	30-SEP-2022		X0708	D	LIVE		
0001940409-22-000003	021-460407               	30-SEP-2022		X0708	D	LIVE		
0001944867-22-000002	021-460406               	30-SEP-2022		X0708	D	LIVE		
0001754586-22-000001	021-323034               	30-SEP-2022		X0708	D/A	LIVE		
0001948703-22-000002	021-460405               	30-SEP-2022		X0708	D	LIVE		
0001948688-22-000002	021-460404               	30-SEP-2022		X0708	D	LIVE		
0001945579-22-000002	021-460403               	30-SEP-2022		X0708	D	LIVE		
0001945345-22-000002	021-460402               	30-SEP-2022		X0708	D	LIVE		
0001862799-22-000001	021-399686               	30-SEP-2022		X0708	D/A	LIVE		
0001945203-22-000002	021-460401               	30-SEP-2022		X0708	D	LIVE		
0001913816-22-000003	021-460400               	30-SEP-2022		X0708	D	LIVE		
0001949092-22-000001	021-460399               	30-SEP-2022		X0708	D	LIVE		
0001947832-22-000001	021-460398               	30-SEP-2022		X0708	D	LIVE		
0001684643-22-000001	021-272063               	30-SEP-2022		X0708	D/A	LIVE		
0001790254-22-000001	021-350375               	30-SEP-2022		X0708	D/A	LIVE		
0001638309-22-000001	021-460397               	30-SEP-2022		X0708	D	LIVE		
0001943007-22-000001	021-460396               	30-SEP-2022		X0708	D	LIVE		
0001947956-22-000001	021-460395               	30-SEP-2022		X0708	D	LIVE		
0001919787-22-000002	021-439408               	30-SEP-2022		X0708	D/A	LIVE		
0001948652-22-000001	021-460394               	30-SEP-2022		X0708	D	LIVE		
0001080368-22-000042	021-460393               	30-SEP-2022		X0708	D	LIVE		
0001946636-22-000003	021-460363               	30-SEP-2022		X0708	D/A	LIVE		
0001695723-22-000001	021-279208               	30-SEP-2022		X0708	D/A	LIVE		
0001012975-22-000413	021-457393               	30-SEP-2022		X0708	D/A	LIVE		
0001947397-22-000002	021-460392               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005731	021-460391               	30-SEP-2022		X0708	D	LIVE		
0001012975-22-000412	021-457387               	30-SEP-2022		X0708	D/A	LIVE		
0001948692-22-000001	021-460390               	30-SEP-2022		X0708	D	LIVE		
0001946712-22-000002	021-460389               	30-SEP-2022		X0708	D	LIVE		
0001948995-22-000002	021-460388               	30-SEP-2022		X0708	D	LIVE		
0001948993-22-000002	021-460387               	30-SEP-2022		X0708	D	LIVE		
0001947739-22-000001	021-460386               	30-SEP-2022		X0708	D	LIVE		
0001948986-22-000002	021-460385               	30-SEP-2022		X0708	D	LIVE		
0001946725-22-000002	021-460384               	30-SEP-2022		X0708	D	LIVE		
0000947871-22-001033	021-69572                	30-SEP-2022		X0708	D/A	LIVE		
0001948916-22-000001	021-460383               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005729	021-219023               	30-SEP-2022		X0708	D/A	LIVE		
0001948985-22-000002	021-460382               	30-SEP-2022		X0708	D	LIVE		
0000947871-22-001032	021-205816               	30-SEP-2022		X0708	D/A	LIVE		
0001213900-22-060454	021-258768               	30-SEP-2022		X0708	D/A	LIVE		
0001885316-22-000002	021-415675               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005727	021-81943                	30-SEP-2022		X0708	D/A	LIVE		
0001922935-22-000001	021-460381               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005726	021-204254               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005725	021-460380               	30-SEP-2022		X0708	D	LIVE		
0001885790-22-000001	021-415228               	30-SEP-2022		X0708	D/A	LIVE		
0001932758-22-000002	021-452820               	30-SEP-2022		X0708	D/A	LIVE		
0001915807-22-000003	021-460379               	30-SEP-2022		X0708	D	LIVE		
0001741863-22-000001	021-313973               	30-SEP-2022		X0708	D/A	LIVE		
0000935836-22-000537	021-417783               	30-SEP-2022		X0708	D/A	LIVE		
0001948990-22-000002	021-460378               	30-SEP-2022		X0708	D	LIVE		
0001947409-22-000002	021-460377               	30-SEP-2022		X0708	D	LIVE		
0001949035-22-000001	021-460376               	30-SEP-2022		X0708	D	LIVE		
0001923424-22-000001	021-460375               	30-SEP-2022		X0708	D	LIVE		
0001948994-22-000002	021-460374               	30-SEP-2022		X0708	D	LIVE		
0001507943-22-000053	021-415313               	30-SEP-2022		X0708	D/A	LIVE		
0001721811-22-000002	021-460373               	30-SEP-2022		X0708	D	LIVE		
0001507943-22-000052	021-415310               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005721	021-149094               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005720	021-204276               	30-SEP-2022		X0708	D/A	LIVE		
0001748677-22-000001	021-318223               	30-SEP-2022		X0708	D/A	LIVE		
0001948987-22-000002	021-460372               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005717	021-226259               	30-SEP-2022		X0708	D/A	LIVE		
0001588712-22-000001	021-209913               	30-SEP-2022		X0708	D/A	LIVE		
0000898432-22-000599	021-412591               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005715	021-350403               	30-SEP-2022		X0708	D/A	LIVE		
0001948527-22-000002	021-460371               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005713	021-53272                	30-SEP-2022		X0708	D/A	LIVE		
0001013594-22-000618	021-460370               	30-SEP-2022		X0708	D	LIVE		
0001013594-22-000617	021-460369               	30-SEP-2022		X0708	D	LIVE		
0001942199-22-000002	021-460368               	30-SEP-2022		X0708	D	LIVE		
0001013594-22-000616	021-460367               	30-SEP-2022		X0708	D	LIVE		
0001922940-22-000001	021-460366               	30-SEP-2022		X0708	D	LIVE		
0001013594-22-000615	021-460365               	30-SEP-2022		X0708	D	LIVE		
0001522805-22-000001	021-460364               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005711	021-350402               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005710	021-248742               	30-SEP-2022		X0708	D/A	LIVE		
0001946636-22-000002	021-460363               	30-SEP-2022		X0708	D	LIVE		
0001011548-22-000001	021-146634               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005707	021-166829               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005705	021-80825                	30-SEP-2022		X0708	D/A	LIVE		
0001315863-22-000633	021-150171               	30-SEP-2022		X0708	D/A	LIVE		
0001566114-22-000102	021-271733               	30-SEP-2022		X0708	D/A	LIVE		
0001315863-22-000632	021-150170               	30-SEP-2022		X0708	D/A	LIVE		
0001947179-22-000002	021-460362               	30-SEP-2022		X0708	D	LIVE		
0001599949-22-000002	021-460361               	30-SEP-2022		X0708	D	LIVE		
0000950142-22-002810	021-460360               	30-SEP-2022		X0708	D	LIVE		
0000902664-22-004400	021-376967               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004399	021-235146               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004398	021-235144               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004396	021-271672               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004395	021-271671               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004394	021-296091               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004393	021-322744               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004392	021-376842               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004391	021-415149               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004390	021-376758               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004389	021-415133               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004388	021-376798               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004387	021-376797               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004386	021-376787               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004385	021-376786               	30-SEP-2022		X0708	D/A	LIVE		
0000902664-22-004384	021-460359               	30-SEP-2022		X0708	D	LIVE		
0000902664-22-004383	021-460358               	30-SEP-2022		X0708	D	LIVE		
0001948469-22-000001	021-460347               	30-SEP-2022		X0708	D	LIVE		
0001607211-22-000002	021-217587               	30-SEP-2022		X0708	D/A	LIVE		
0001949009-22-000002	021-460349               	30-SEP-2022		X0708	D	LIVE		
0001567619-22-017962	021-460345               	30-SEP-2022		X0708	D	LIVE		
0001924299-22-000002	021-460344               	30-SEP-2022		X0708	D	LIVE		
0001567619-22-017964	021-460351               	30-SEP-2022		X0708	D	LIVE		
0001859536-22-000001	021-460357               	30-SEP-2022		X0708	D	LIVE		
0001948890-22-000001	021-460354               	30-SEP-2022		X0708	D	LIVE		
0001948430-22-000001	021-460355               	30-SEP-2022		X0708	D	LIVE		
0001948514-22-000001	021-460348               	30-SEP-2022		X0708	D	LIVE		
0001932331-22-000001	021-460356               	30-SEP-2022		X0708	D	LIVE		
0001947957-22-000001	021-460352               	30-SEP-2022		X0708	D	LIVE		
0001860690-22-000002	021-460353               	30-SEP-2022		X0708	D	LIVE		
0001621804-22-000001	021-226180               	30-SEP-2022		X0708	D/A	LIVE		
0000950103-22-016768	021-407294               	30-SEP-2022		X0708	D/A	LIVE		
0000950103-22-016767	021-407297               	30-SEP-2022		X0708	D/A	LIVE		
0001062993-22-020068	021-460346               	30-SEP-2022		X0708	D	LIVE		
0001946923-22-000001	021-460350               	30-SEP-2022		X0708	D	LIVE		
0001789564-22-000001	021-349811               	29-SEP-2022		X0708	D/A	LIVE		
0000950142-22-002809	021-415041               	29-SEP-2022		X0708	D/A	LIVE		
0000950142-22-002808	021-415039               	29-SEP-2022		X0708	D/A	LIVE		
0001885868-22-000006	021-460343               	29-SEP-2022		X0708	D	LIVE		
0001885868-22-000005	021-460342               	29-SEP-2022		X0708	D	LIVE		
0001924299-22-000001	021-460341               	29-SEP-2022		X0708	D	LIVE		
0001841394-22-000002	021-460340               	29-SEP-2022		X0708	D	LIVE		
0001885868-22-000004	021-415382               	29-SEP-2022		X0708	D/A	LIVE		
0001885868-22-000003	021-415381               	29-SEP-2022		X0708	D/A	LIVE		
0001841392-22-000002	021-460339               	29-SEP-2022		X0708	D	LIVE		
0001885868-22-000002	021-460338               	29-SEP-2022		X0708	D	LIVE		
0001013594-22-000614	021-460337               	29-SEP-2022		X0708	D	LIVE		
0000945621-22-000328	021-460336               	29-SEP-2022		X0708	D	LIVE		
0001934995-22-000001	021-460335               	29-SEP-2022		X0708	D	LIVE		
0001013594-22-000613	021-460334               	29-SEP-2022		X0708	D	LIVE		
0001812410-22-000001	021-460333               	29-SEP-2022		X0708	D	LIVE		
0000945621-22-000327	021-460332               	29-SEP-2022		X0708	D	LIVE		
0001567619-22-017960	021-460331               	29-SEP-2022		X0708	D	LIVE		
0000945621-22-000326	021-460330               	29-SEP-2022		X0708	D	LIVE		
0001947927-22-000001	021-460329               	29-SEP-2022		X0708	D	LIVE		
0001727689-22-000029	021-460207               	29-SEP-2022	1000	X0708	D/A	LIVE		
0001943562-22-000001	021-460328               	29-SEP-2022		X0708	D	LIVE		
0001947421-22-000001	021-460327               	29-SEP-2022		X0708	D	LIVE		
0001948867-22-000001	021-460326               	29-SEP-2022		X0708	D	LIVE		
0001948654-22-000001	021-460325               	29-SEP-2022		X0708	D	LIVE		
0001890156-22-000002	021-453053               	29-SEP-2022		X0708	D/A	LIVE		
0000950142-22-002807	021-460324               	29-SEP-2022		X0708	D	LIVE		
0001882528-22-000001	021-422836               	29-SEP-2022		X0708	D/A	LIVE		
0001855981-22-000002	021-460323               	29-SEP-2022		X0708	D	LIVE		
0001890154-22-000002	021-452424               	29-SEP-2022		X0708	D/A	LIVE		
0001882526-22-000001	021-414268               	29-SEP-2022		X0708	D/A	LIVE		
0001890153-22-000002	021-451399               	29-SEP-2022		X0708	D/A	LIVE		
0001867784-22-000001	021-410715               	29-SEP-2022		X0708	D/A	LIVE		
0001948109-22-000001	021-460322               	29-SEP-2022		X0708	D	LIVE		
0001890151-22-000002	021-447272               	29-SEP-2022		X0708	D/A	LIVE		
0001890150-22-000002	021-447269               	29-SEP-2022		X0708	D/A	LIVE		
0001867783-22-000001	021-405205               	29-SEP-2022		X0708	D/A	LIVE		
0001884795-22-000002	021-440297               	29-SEP-2022		X0708	D/A	LIVE		
0001948979-22-000002	021-460321               	29-SEP-2022		X0708	D	LIVE		
0001854918-22-000001	021-405204               	29-SEP-2022		X0708	D/A	LIVE		
0001948670-22-000001	021-460320               	29-SEP-2022		X0708	D	LIVE		
0001942160-22-000009	021-460319               	29-SEP-2022		X0708	D	LIVE		
0001948631-22-000002	021-460318               	29-SEP-2022		X0708	D	LIVE		
0001854915-22-000001	021-394920               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017959	021-460317               	29-SEP-2022		X0708	D	LIVE		
0001942160-22-000008	021-460316               	29-SEP-2022		X0708	D	LIVE		
0001739074-22-000006	021-460315               	29-SEP-2022		X0708	D	LIVE		
0001947013-22-000001	021-460314               	29-SEP-2022		X0708	D	LIVE		
0001947619-22-000001	021-460313               	29-SEP-2022		X0708	D	LIVE		
0001948956-22-000001	021-460312               	29-SEP-2022		X0708	D	LIVE		
0001885373-22-000001	021-415145               	29-SEP-2022		X0708	D/A	LIVE		
0001288230-22-000017	021-415035               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017957	021-460311               	29-SEP-2022		X0708	D	LIVE		
0001844249-22-000001	021-388879               	29-SEP-2022		X0708	D/A	LIVE		
0001885477-22-000001	021-415144               	29-SEP-2022		X0708	D/A	LIVE		
0001925102-22-000007	021-443140               	29-SEP-2022		X0708	D/A	LIVE		
0001947492-22-000002	021-460310               	29-SEP-2022		X0708	D	LIVE		
0001948631-22-000001	021-460309               	29-SEP-2022		X0708	D	LIVE		
0001855297-22-000001	021-460308               	29-SEP-2022		X0708	D	LIVE		
0001885868-22-000001	021-460307               	29-SEP-2022		X0708	D	LIVE		
0001534407-22-000001	021-249363               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017955	021-460306               	29-SEP-2022		X0708	D	LIVE		
0001685925-22-000001	021-271682               	29-SEP-2022		X0708	D/A	LIVE		
0001940654-22-000004	021-460305               	29-SEP-2022		X0708	D	LIVE		
0001231919-22-000062	021-460304               	29-SEP-2022		X0708	D	LIVE		
0001534406-22-000001	021-249360               	29-SEP-2022		X0708	D/A	LIVE		
0001947987-22-000002	021-460303               	29-SEP-2022		X0708	D	LIVE		
0001947871-22-000002	021-460302               	29-SEP-2022		X0708	D	LIVE		
0001942160-22-000007	021-371919               	29-SEP-2022		X0708	D/A	LIVE		
0001947984-22-000002	021-460301               	29-SEP-2022		X0708	D	LIVE		
0001873234-22-000004	021-460300               	29-SEP-2022		X0708	D	LIVE		
0001943457-22-000003	021-460299               	29-SEP-2022		X0708	D	LIVE		
0001948137-22-000002	021-460298               	29-SEP-2022		X0708	D	LIVE		
0001941377-22-000002	021-460297               	29-SEP-2022		X0708	D	LIVE		
0001948578-22-000001	021-460296               	29-SEP-2022		X0708	D	LIVE		
0001924764-22-000001	021-460295               	29-SEP-2022		X0708	D	LIVE		
0001879785-22-000069	021-329652               	29-SEP-2022		X0708	D/A	LIVE		
0001777109-22-000003	021-460294               	29-SEP-2022		X0708	D	LIVE		
0000919574-22-005702	021-76416                	29-SEP-2022		X0708	D/A	LIVE		
0001834605-22-000003	021-382391               	29-SEP-2022		X0708	D/A	LIVE		
0001946124-22-000001	021-460293               	29-SEP-2022		X0708	D	LIVE		
0001012975-22-000411	021-415028               	29-SEP-2022		X0708	D/A	LIVE		
0001945653-22-000002	021-460292               	29-SEP-2022		X0708	D	LIVE		
0001921969-22-000001	021-460291               	29-SEP-2022		X0708	D	LIVE		
0001947974-22-000001	021-460290               	29-SEP-2022		X0708	D	LIVE		
0001948818-22-000002	021-460289               	29-SEP-2022		X0708	D	LIVE		
0001742627-22-000003	021-460029               	29-SEP-2022		X0708	D/A	LIVE		
0001840186-22-000001	021-460288               	29-SEP-2022		X0708	D	LIVE		
0000919574-22-005698	021-185571               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017953	021-460287               	29-SEP-2022		X0708	D	LIVE		
0000919574-22-005696	021-167289               	29-SEP-2022		X0708	D/A	LIVE		
0001834601-22-000003	021-382389               	29-SEP-2022		X0708	D/A	LIVE		
0001683575-22-000002	021-460286               	29-SEP-2022		X0708	D	LIVE		
0001825207-22-000003	021-376560               	29-SEP-2022		X0708	D/A	LIVE		
0001825220-22-000003	021-376561               	29-SEP-2022		X0708	D/A	LIVE		
0000950142-22-002804	021-460285               	29-SEP-2022		X0708	D	LIVE		
0001948496-22-000001	021-460284               	29-SEP-2022		X0708	D	LIVE		
0001012975-22-000410	021-415027               	29-SEP-2022		X0708	D/A	LIVE		
0001937085-22-000001	021-460283               	29-SEP-2022		X0708	D	LIVE		
0001825287-22-000003	021-376559               	29-SEP-2022		X0708	D/A	LIVE		
0001928320-22-000001	021-460282               	29-SEP-2022		X0708	D	LIVE		
0001938615-22-000001	021-460281               	29-SEP-2022		X0708	D	LIVE		
0001254435-22-000002	021-460280               	29-SEP-2022		X0708	D	LIVE		
0001937855-22-000012	021-452202               	29-SEP-2022		X0708	D/A	LIVE		
0000892251-22-000017	021-460279               	29-SEP-2022		X0708	D	LIVE		
0001873524-22-000001	021-460278               	29-SEP-2022		X0708	D	LIVE		
0001836119-22-000002	021-383118               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017951	021-265000               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017949	021-233059               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017947	021-216418               	29-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005694	021-47219                	29-SEP-2022		X0708	D/A	LIVE		
0001948325-22-000001	021-460277               	29-SEP-2022		X0708	D	LIVE		
0001773014-22-000002	021-336872               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017944	021-326962               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017942	021-341835               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017940	021-337181               	29-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017938	021-337169               	29-SEP-2022		X0708	D/A	LIVE		
0001946956-22-000003	021-460276               	29-SEP-2022		X0708	D	LIVE		
0001929054-22-000002	021-459841               	29-SEP-2022		X0708	D/A	LIVE		
0001925392-22-000002	021-460275               	29-SEP-2022		X0708	D	LIVE		
0001948123-22-000001	021-460274               	29-SEP-2022		X0708	D	LIVE		
0001948576-22-000001	021-460273               	29-SEP-2022		X0708	D	LIVE		
0000892251-22-000016	021-460272               	29-SEP-2022		X0708	D	LIVE		
0001927973-22-000005	021-459529               	29-SEP-2022		X0708	D/A	LIVE		
0001624350-22-000002	021-460271               	29-SEP-2022		X0708	D	LIVE		
0001914550-22-000001	021-460270               	29-SEP-2022		X0708	D	LIVE		
0001890257-22-000184	021-460269               	29-SEP-2022		X0708	D	LIVE		
0001946468-22-000002	021-460268               	29-SEP-2022		X0708	D	LIVE		
0001947895-22-000002	021-460267               	29-SEP-2022		X0708	D	LIVE		
0001890257-22-000183	021-460266               	29-SEP-2022		X0708	D	LIVE		
0001892492-22-000003	021-460265               	29-SEP-2022	2650	X0708	D	LIVE		
0001890257-22-000182	021-460264               	29-SEP-2022		X0708	D	LIVE		
0001948765-22-000001	021-460263               	29-SEP-2022		X0708	D	LIVE		
0001747968-22-000001	021-423736               	29-SEP-2022		X0708	D/A	LIVE		
0001789729-22-000001	021-349928               	29-SEP-2022		X0708	D/A	LIVE		
